ResponseId	Trip_Number	raw_response	units	distance_in_raw_response_units	mode	likely_dominant_mode	distance_in_kilometers
R_1rv0sDnuZD5YZk6	Distance Trip 1	1187 (plane)	kilometers	1187	plane	plane	1187
R_1rw4dEbmxtU8FLU	Distance Trip 1	8800	kilometers	8800	unknown	unknown	8800
R_1U4n9u8wA6LR03L	Distance Trip 1	3500 km plane	kilometers	3500	plane	plane	3500
R_1yI0IGYLTAdyvyV	Distance Trip 1	1000	kilometers	1000	unknown	unknown	1000
R_20TEpae6oOtqE9t	Distance Trip 1	6750	kilometers	6750	unknown	unknown	6750
R_20Z5l8DIra2n53C	Distance Trip 1	1000	miles	1000	unknown	unknown	1000
R_21HEtB7mlAqpHIO	Distance Trip 1	NA	NA	NA	NA	NA	NA
R_22lkd4n72LmIarH	Distance Trip 1	685(airplane)	kilometers	685	plane	plane	685
R_22RXTsFimjF8H6r	Distance Trip 1	NA	NA	NA	NA	NA	NA
R_22uagAaJASFCeL1	Distance Trip 1	302 (driving, carpool with 7 people)	miles	302	car	car	302
R_22yw6R0OKgLJ5az	Distance Trip 1	1 (walk)	miles	1	foot	foot	1
R_239J2lZsugoL60Q	Distance Trip 1	NA	NA	NA	NA	NA	NA
R_242WTBWUluvzhUs	Distance Trip 1	9250 km (flight)	kilometers	9250	plane	plane	9250
R_24HjpYhhzvsj9qT	Distance Trip 1	20	kilometers	20	unknown	unknown	20
R_24pKiBVkCs01egm	Distance Trip 1	129 (train)	kilometers	129	train	train	129
R_25KiUS8q8RIikno	Distance Trip 1	2723 (plane)	miles	2723	plane	plane	2723
R_25Qq7olTJuMXyM0	Distance Trip 1	5000? air	kilometers	5000	plane	plane	5000
R_25TTKcLJiL66MyJ	Distance Trip 1	6200 (plane)	kilometers	6200	plane	plane	6200
R_25vgqWOQRX7yxQB	Distance Trip 1	25km	kilometers	25	unknown	unknown	25
R_25XT8a01KRfyeZy	Distance Trip 1	2000	miles	2000	unknown	unknown	2000
R_262A4wc1S1E0HKo	Distance Trip 1	2137 (air)	miles	2137	plane	plane	2137
R_26aQDMnHbKhgVBY	Distance Trip 1	NA	NA	NA	NA	NA	NA
R_26hGERCRAYDvFvK	Distance Trip 1	25	kilometers	25	unknown	unknown	25
R_26hwi7RlcZ8eoRW	Distance Trip 1	664 (plane)	miles	664	plane	plane	664
R_27D4P8iJrX3XgOD	Distance Trip 1	200 (train)	NA	200	train	train	200
R_27DqM8fJiWT62cS	Distance Trip 1	3,100	miles	3100	unknown	unknown	3100
R_27OtrdlQU3w9Wr2	Distance Trip 1	393 (plane)	miles	393	plane	plane	393
R_28MpO3WXFiYr3aS	Distance Trip 1	1 (car)	miles	1	car	car	1
R_296509E6OMip38g	Distance Trip 1	NA	NA	NA	NA	NA	NA
R_2abEfDqooVqaCWF	Distance Trip 1	NA	NA	NA	NA	NA	NA
R_2aETCNUNOWJrFxn	Distance Trip 1	4045 (plane)	miles	4045	plane	plane	4045
R_2AFJUxAnnZpxQys	Distance Trip 1	200 drive	miles	200	car	car	200
R_2ALmim8DisBK9AJ	Distance Trip 1	350 (plane)	miles	350	plane	plane	350
R_2aLvV7a5PVh4ZN2	Distance Trip 1	NA	NA	NA	NA	NA	NA
R_2amAq6m8A1dofsG	Distance Trip 1	0	kilometers	0	unknown	unknown	0
R_2arhPCDr0Scmw5R	Distance Trip 1	NA	NA	NA	NA	NA	NA
